page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
-19,Careers in Nutrition University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1143 Part XIX. Appendices Appendix A Appendix A University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1151 Appendix B Attributions University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1156,402,59,100.5
-18,"Preface UNIVERSITY OF HAWAI‘I AT MĀNOA FOOD SCIENCE AND HUMAN NUTRITION PROGRAM AND HUMAN NUTRITION PROGRAM ‘A‘ohe pau ka ‘ike i ka hālau ho‘okahi Knowledge isn’t taught in all one place   This open access textbook was developed as an introductory nutrition resource to reflect the diverse dietary patterns of people in Hawai‘i and the greater Pacific. Using the ‘ōlelo no‘eau, or Hawaiian proverb, stated above, we believe that the principles of nutrition should be taught through the context of our communities and environments. Its intended audience are students from the University of Hawai‘i at Mānoa enrolled in the Food Science and Human Nutrition (FSHN) 185 course, The Science of Human Nutrition. However, this open access textbook may be of interest to other courses interested in teaching nutrition through a Hawai‘i- Pacific framed lens. This book is best viewed online using the pressbooks format however, multiple formats (e.g., pdf, epub, mobi) are also made available. Preface | xxv",998,158,249.5
-17,"About the Contributors UNIVERSITY OF HAWAI‘I AT MĀNOA FOOD SCIENCE AND HUMAN NUTRITION PROGRAM AND HUMAN NUTRITION PROGRAM This open access textbook was made possible through the collaboration of faculty, students and staff at the University of Hawai‘i at Mānoa demonstrating the value of working together, ho‘okahi ka ‘ilau like ana. Faculty Jennifer Draper xxvi | About the Contributors",388,59,97.0
-16,"Jennifer Draper is a Lecturer in the Department of Human Nutrition, Food and Animal Sciences. She received her MA in Nutrition Science from the University of Texas at Austin. She is a Registered Dietitian in private practice specializing in eating disorders and emotional over-eating. She enjoys interacting with students and is passionate about helping people have a healthy relationship with food and their bodies. Marie Kainoa Fialkowski Revilla Marie Kainoa Fialkowski Revilla is a Native Hawaiian faculty member in the Department of Human Nutrition, Food, and Animal Sciences at the University of Hawai‘i at Mānoa. She teaches a number of courses in nutrition both face to face and online. She is dedicated to developing readily available and accessible nutrition education materials and curricula that reflect Hawai‘i and the Pacific to ensure that her students can relate to the content being learned. She enjoys spending time with her ‘ohana (family) at their home in Ahuimanu on the island of O‘ahu. About the Contributors | xxvii",1039,162,259.75
-15,"Alan Titchenal Dr. Titchenal received a PhD in nutrition from the University of California at Davis with emphasis on exercise physiology and physiological chemistry. His work at the University of Hawai‘i at Mānoa has focused on the broad areas of nutrition and human performance and translation of nutrition science for public consumption. This has included the “Got Nutrients?”project that provides daily messages on topics related to nutrition, fitness, and health and the publication of over 600 articles in the Honolulu Star- Advertiser newspaper.   xxviii | About the Contributors",585,89,146.25
-14,"Students Noemi Arceo Caacbay Noemi Arceo Caacbay is a Masters Student in the Public Health, Health Policy and Management Program at the University of Hawai‘i at Mānoa. She enjoys learning about all things health-science related. She is passionate about returning to her home of Saipan, CNMI where she will give back and serve her community. About the Contributors | xxix",370,60,92.5
-13,Allison Calabrese Allison Calabrese is currently a MS graduate student in the Nutritional Sciences Program at University of Hawai‘i at Mānoa. She obtained her BS from California Lutheran University in Exercise Science with an emphasis in Health Professions. Her research interests include the relationship between diet and optimal health. xxx | About the Contributors,367,53,91.75
-12,Chynna Nicole Chun Chynna Chun is an undergraduate student majoring in Tropical Agriculture and the Environment (TAE) with a specialty in plant production and management at the University of Hawai‘i at Mānoa. She also serves as a student assistant at the CTAHR Academic and Student Affairs Office (ASAO) and the 2019-2020 Future Farmers of America Hawai‘i State Treasurer. About the Contributors | xxxi,402,63,100.5
-11,"Cheryl Gibby Cheryl Gibby was born and raised in Hawai‘i and is a wife and mother of three. She received her BA, MS in Nutritional Sciences, and PhD in Nutrition from the University of Hawai‘i at Mānoa. She has served as an instructor for the introductory Nutrition course at the University of Hawai‘i at Mānoa, and her research interests include infant and child health, dental and bone health, mobile health interventions, school nutrition policies, and online education. xxxii | About the Contributors",504,82,126.0
-10,Skylar Hara Skylar Hara is an undergraduate student student in the Tropical Agriculture and the Environment program at the University of Hawai‘i at Mānoa. She has a growing love for plants and hopes to go to graduate school to conduct research in the future. About the Contributors | xxxiii,290,49,72.5
-9,"Gemady Langfelder Gemady Langfelder is an undergraduate dietetics student at the University of Hawai‘i at Mānoa. She is an ACSM certified personal trainer and a novice horticulturist. Her interests are nutritional epidemiology, infant and pre-/post-natal nutrition, and health policy. xxxiv | About the Contributors",315,44,78.75
-8,Ya-Yun Yang Ya-Yun is a Graduate Assistant in the Distance Education Program for the College of Tropical Agriculture and Human Resources. She is currently a PhD student in Learning Design and Technology (LTEC) at the University of Hawai‘i at Mānoa. Christina Gar Lai Young About the Contributors | xxxv,302,49,75.5
-7,Christina Gar Lai Young is currently an undergraduate student in Dietetics at the College of Tropical Agriculture and Human Resources at the University of Hawaiʻi at Mānoa. She plans to become a Registered Dietitian after obtaining her undergraduate degree and completing her supervised practice in dietetics. Staff Ty Lim Ty Lim is an instructional designer who received his MA in Education and BA in Anthropology.  He is excited about helping to create open educational resources for FSHN and CTAHR. xxxvi | About the Contributors,532,84,133.0
-6,Billy Meinke Billy is the Open Educational Resources Technologist for the Outreach College at the University of Hawai‘i at Mānoa. About the Contributors | xxxvii,161,25,40.25
-5,"Kellie Taguchi Kellie is the Distance Education Coordinator for the College of Tropical Agriculture and Human Resources at the University of Hawai‘i at Mānoa.   Contact Person Dr. Marie Kainoa Fialkowski Revilla mariekf@hawaii.edu 808-956-8337 1955 East West Road Honolulu, HI 96822 University of Hawaii at Manoa Department of Human Nutrition, Food, and Animal Sciences xxxviii | About the Contributors",402,59,100.5
-4,"Note to Educators Using this Resource Please send edits and suggestions directly to Dr. Fialkowski Revilla on how we may improve the textbook. We also welcome others to adopt the book for their own course needs, however, we would like to be able to keep a record of users so that we may update them on any critical changes to the textbook. Please contact Dr. Fialkowski Revilla if you are considering to adopt the textbook for your course. About the Contributors | xxxix",470,83,117.5
-3,"Acknowledgements UNIVERSITY OF HAWAI‘I AT MĀNOA FOOD SCIENCE AND HUMAN NUTRITION PROGRAM AND HUMAN NUTRITION PROGRAM This Open Educational Resource textbook has been adapted from: OpenStax Anatomy and Physiology / / CC BY 4.0 • Chapter 2 The Human Body An Introduction to Human Nutrition / / CC BY-NC-SA 3.0 • Chapter 1 Basic Concepts in Nutrition • Chapter 3 Water and Electrolytes • Chapter 4 Carbohydrates • Chapter 5 Lipids • Chapter 6 Protein • Chapter 8 Energy • Chapter 12 Nutrition Applications • Chapter 13 Lifespan Nutrition From Pregnancy to the Toddler Years • Chapter 14 Lifespan Nutrition During Childhood and Adolescence • Chapter 15 Lifespan Nutrition in Adulthood • Chapter 17 Food Safety • Chapter 18 Nutritional Issues Chapters and sections were borrowed and adapted from the above existing OER textbooks on human nutrition. Without these foundational texts, a lot more work would have been required to complete this project. Mahalo (thank you) to those who shared before us. All other content should include the following attribution statement: — xl | Acknowledgements",1088,174,272.0
-2,"This work is licensed under a Creative Commons Attribution 4.0 International License. Human Nutrition by the University of Hawai’i at Mānoa Food Science and Human Nutrition Program. Download this book for free at:  http:/ /pressbooks.oer.hawaii.edu/ humannutrition/ — This Open Educational Resource textbook was also inspired by: Kansas State University Human Nutrition | goo.gl/vOAnR / / CC BY 3.0 Edited and Reviewed by Carolyn Donohoe-Mather – University of Hawai’i at Mānoa, Chapter reviewer Cecille Farnum — Ryerson University, Copyeditor Changqi Leu — San Diego State University, Chapter reviewer Billy Meinke — University of Hawai’i at Mānoa, Project manager Paula Parslow — Private, Copyeditor Trina Robertson — Saddleback College, Chapter reviewer Allison Tepper — American University, Chapter reviewer Front Cover Photo Noa Kekuewa Lincoln / CC BY 4.0 Acknowledgements | xli",884,128,221.0
-1,"Special Thanks to Bill Chismar – University of Hawai’i at Mānoa, Dean of Outreach College The Children’s Healthy Living Summer Institute – University of Hawai’i at Mānoa Open Educational Resources This text is provided to you as an Open Educational Resource (OER) which you access online. It is designed to give you a comprehensive introduction to human nutrition at no or very nominal cost. It contains both written and graphic text material, intra-text links to other internal material which may aid in understanding topics and concepts, intra-text links to the appendices and glossary for tables and definitions of words, and extra-text links to videos and web material that clarifies and augments topics and concepts. xlii | Acknowledgements",745,116,186.25
2,"Image by Jim Hollyer / CC BY 4.0 Introduction UNIVERSITY OF HAWAI‘I AT MĀNOA FOOD SCIENCE AND HUMAN NUTRITION PROGRAM AND HUMAN NUTRITION PROGRAM ʻO ke kahua ma mua, ma hope ke kūkulu The foundation comes first, then the building     Introduction | 3",250,45,62.5
3,"Learning Objectives By the end of this chapter, you will be able to: • Describe basic concepts in nutrition • Describe factors that affect your nutritional needs • Describe the importance of research and scientific methods to understanding nutrition What are Nutrients? The foods we eat contain nutrients. Nutrients are substances required by the body to perform its basic functions. Nutrients must be obtained from our diet, since the human body does not synthesize or produce them. Nutrients have one or more of three basic functions: they provide energy, contribute to body structure, and/or regulate chemical processes in the body. These basic functions allow us to detect and respond to environmental surroundings, move, excrete wastes, respire (breathe), grow, and reproduce. There are six classes of nutrients required for the body to function and maintain overall health. These are carbohydrates, lipids, proteins, water, vitamins, and minerals. Foods also contain non-nutrients that may be harmful (such as natural toxins common in plant foods and additives like some dyes and preservatives) or beneficial (such as antioxidants). 4 | Introduction",1155,176,288.75
4,"Macronutrients Nutrients that are needed in large amounts are called macronutrients. There are three classes of macronutrients: carbohydrates, lipids, and proteins. These can be metabolically processed into cellular energy. The energy from macronutrients comes from their chemical bonds. This chemical energy is converted into cellular energy that is then utilized to perform work, allowing our bodies to conduct their basic functions. A unit of measurement of food energy is the calorie. On nutrition food labels the amount given for “calories” is actually equivalent to each calorie multiplied by one thousand. A kilocalorie (one thousand calories, denoted with a small “c”) is synonymous with the “Calorie” (with a capital “C”) on nutrition food labels. Water is also a macronutrient in the sense that you require a large amount of it, but unlike the other macronutrients, it does not yield calories. Carbohydrates Carbohydrates are molecules composed of carbon, hydrogen, and oxygen.",987,149,246.75
4,"The major food sources of carbohydrates are grains, milk, fruits, and starchy vegetables, like potatoes. Non-starchy vegetables also contain carbohydrates, but in lesser quantities. Carbohydrates are broadly classified into two forms based on their chemical structure: simple carbohydrates, often called simple sugars; and complex carbohydrates. Simple carbohydrates consist of one or two basic units. Examples of simple sugars include sucrose, the type of sugar you would have in a bowl on the breakfast table, and glucose, the type of sugar that circulates in your blood. Complex carbohydrates are long chains of simple sugars that can be unbranched or branched. During digestion, the body breaks Introduction | 5",715,107,178.75
5,"down digestible complex carbohydrates to simple sugars, mostly glucose. Glucose is then transported to all our cells where it is stored, used to make energy, or used to build macromolecules. Fiber is also a complex carbohydrate, but it cannot be broken down by digestive enzymes in the human intestine. As a result, it passes through the digestive tract undigested unless the bacteria that inhabit the colon or large intestine break it down. One gram of digestible carbohydrates yields four kilocalories of energy for the cells in the body to perform work. In addition to providing energy and serving as building blocks for bigger macromolecules, carbohydrates are essential for proper functioning of the nervous system, heart, and kidneys. As mentioned, glucose can be stored in the body for future use. In humans, the storage molecule of carbohydrates is called glycogen, and in plants, it is known as starch. Glycogen and starch are complex carbohydrates. Lipids Lipids are also a family of molecules composed of carbon, hydrogen, and oxygen, but unlike carbohydrates, they are insoluble in water.",1100,175,275.0
5,"Lipids are found predominantly in butter, oils, meats, dairy products, nuts, and seeds, and in many processed foods. The three main types of lipids are triglycerides (triacylglycerols), phospholipids, and sterols. The main job of lipids is to provide or store energy. Lipids provide more energy per gram than carbohydrates (nine kilocalories per gram of lipids versus four kilocalories per gram of carbohydrates). In addition to energy storage, lipids serve as a major component of cell membranes, surround and protect organs (in fat-storing tissues), provide insulation to aid in temperature regulation, and regulate many other functions in the body. 6 | Introduction",668,101,167.0
6,"Figure 1.1 The Macronutrie nts: Carbohydrat es, Lipids, Protein, and Water Proteins Proteins are macromolecules composed of chains of subunits called amino acids. Amino acids are simple subunits composed of carbon, oxygen, hydrogen, and nitrogen. Food sources of proteins include meats, dairy products, seafood, and a variety of different plant- based foods, most notably soy. The word protein comes from a Greek word meaning “of primary importance,” which is an apt description of these macronutrients; they are also known colloquially as the “workhorses” of life. Proteins provide four kilocalories of energy per gram; however providing energy is not protein’s most important function. Proteins provide structure to bones, muscles and skin, and play a role in conducting most of the chemical reactions that take place in the body. Scientists estimate that greater than one-hundred thousand different proteins exist within the human body. The genetic codes in DNA are basically protein recipes that determine the order in which 20 different amino acids are bound together to make thousands of specific proteins. Figure 1.1 The Macronutrients: Carbohydrates, Lipids, Protein, and Water Introduction | 7",1202,181,300.5
